Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadacao_Total,Ganhadores_15_N??meros,column20,Ganhadores_14_N�meros,Ganhadores_13_N�meros,Ganhadores_12_N�meros,Ganhadores_11_N�meros,Valor_Rateio_15_N�meros,Valor_Rateio_14_N??meros,Valor_Rateio_13_N�meros,Valor_Rateio_12_N�meros,Valor_Rateio_11_N�meros,Acumulado_15_N�meros,Estimativa_Premio,Valor_Acumulado_Especial,Cidade
1.0,29/09/2003,2.0,3.0,5.0,6.0,9.0,10.0,11.0,13.0,14.0,16.0,18.0,20.0,23.0,24.0,25.0,0,5.0,BA,154.0,4645.0,48807.0,257593.0,"49.765,82","689,84",10,4.0,2,0,0,0,
2.0,06/10/2003,1.0,4.0,5.0,6.0,7.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,20.0,23.0,24.0,0,1.0,SP,184.0,6232.0,81252.0,478188.0,"596.323,70","1.388,95",10,4.0,2,0,0,0,
3.0,13/10/2003,1.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,16.0,17.0,20.0,23.0,24.0,0,2.0,SP,158.0,6897.0,96244.0,608211.0,"400.623,70","2.173,36",10,4.0,2,0,0,0,
4.0,20/10/2003,1.0,2.0,4.0,5.0,8.0,10.0,12.0,13.0,16.0,17.0,18.0,19.0,23.0,24.0,25.0,0,1.0,MT,258.0,9569.0,123912.0,706657.0,"902.226,02","1.498,72",10,4.0,2,0,0,0,
5.0,27/10/2003,1.0,2.0,4.0,8.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,20.0,23.0,24.0,25.0,0,2.0,BA,472.0,14736.0,195636.0,860992.0,"380.017,55","687,49",10,4.0,2,0,0,0,
6.0,03/11/2003,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,16.0,17.0,19.0,21.0,23.0,25.0,0,2.0,RJ,393.0,14242.0,162320.0,888301.0,"489.140,06","1.066,83",10,4.0,2,0,0,0,
7.0,10/11/2003,1.0,4.0,7.0,8.0,10.0,12.0,14.0,15.0,16.0,18.0,19.0,21.0,22.0,23.0,25.0,0,9.0,BA,1333.0,25878.0,206828.0,967358.0,"104.625,29","301,59",10,4.0,2,0,0,0,
8.0,17/11/2003,1.0,5.0,6.0,8.0,9.0,10.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,25.0,0,1.0,BA,256.0,11414.0,149037.0,926910.0,"1.201.958,08","2.012,21",10,4.0,2,0,0,0,
9.0,24/11/2003,3.0,4.0,5.0,9.0,10.0,11.0,13.0,15.0,16.0,17.0,19.0,20.0,21.0,24.0,25.0,0,3.0,PR,407.0,14973.0,213511.0,1104328.0,"336.053,65","1.061,60",10,4.0,2,0,0,0,
10.0,01/12/2003,2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,14.0,19.0,20.0,23.0,24.0,0,0.0,,380.0,15767.0,207355.0,1186563.0,0,"1.157,08",10,4.0,2,"1.025.945,00",0,0,
